Conc(ug/L),Response
0,9.31
0.05,8.6429
0.15,7.409
0.2,6.8389
0.25,7.0422
0.3,6.5204
0.35,6.1904
0.4,5.5343
0.45,5.5355
0.5,5.2413
0.55,4.904
0.6,4.7941
0.65,4.5581
0.7,4.3404
0.75,4.2965
0.8,4.4008
0.85,4.086
0.9,4.1528
0.95,3.8075
1,4.0812
1.05,4.076
1.1,3.8024
1.15,4.0718
1.2,4.0322
1.25,3.7857
1.3,4.022
1.35,3.9411
1.4,3.6485
1.45,4.153
1.5,3.8695
1.55,3.9221
1.6,4.0661
1.65,4.0048
1.7,4.3004
1.75,3.9452
1.85,4.211
1.95,4.2998
2.05,4.2842
2.15,4.291
2.25,4.4723
2.35,4.4368
2.45,4.4863
2.55,4.6466
2.65,4.6757
2.75,4.8027
2.85,4.7661
2.95,4.5711
3.05,4.9659
3.15,4.6196
3.25,5.106
3.35,4.9722
3.45,4.7528
3.55,5.1387
3.65,5.0694
3.75,4.9832
3.85,5.1558
3.95,5.0508
4.05,4.7259
4.15,5.2415
4.25,5.2987
4.35,5.0399
4.55,4.8694
4.75,5.1546
5.15,5.0856
5.25,5.1988
5.45,5.2627
5.55,5.173
5.65,5.392
5.75,5.3659
6,5.227
6.05,5.4463
6.15,5.2313
6.35,4.9851
6.45,5.7451
6.75,5.0628
6.95,5.1411
7,5.1973
7.15,5.0366
7.25,5.3483
7.35,5.1598
7.55,5.4672
7.65,5.5115
7.85,5.2106
7.95,5.3999
8,5.5367
8.25,5.1901
8.35,5.1491
8.55,5.5663
8.65,5.335
8.75,5.2706
8.95,5.1399
9,5.1629
9.05,5.5909
9.15,5.1386
9.25,5.3708
9.55,5.3125
