Time,Count,Dose_grp,Group
hr,,ug,
0.2,10000,1,1
0.5,6548,1,1
1,4131,1,1
2,2517,1,1
5,6235,1,1
7,6394,1,1
10.1,8747,1,1
16,8701,1,1
20,21818,1,1
25,32534,1,1
0.2,8730,2,2
0.5,4662,2,2
1,2317,2,2
2,1024,2,2
5,940,2,2
7,1674,2,2
10,1378,2,2
16,3515,2,2
20,2184,2,2
25,9120,2,2
0.2,13766,4,3
0.5,1409,4,3
1,889,4,3
2,220,4,3
5,46,4,3
7,90,4,3
10,95,4,3
16.1,42,4,3
20.2,171,4,3
25,591,4,3
0.2,10273,8,4
0.5,262,8,4
1,26,8,4
2,3.1,8,4
5,0.12,8,4
7,0.23,8,4
10.1,0.3,8,4
16.15,0.45,8,4
20.2,0.57,8,4
25,1.28,8,4
