Time,Cp,Group,Species,BW
hr,ug/L,,,kg
2,950,1,mouse,0.02
5,400,1,mouse,0.02
10,300,1,mouse,0.02
20,30,1,mouse,0.02
40,4.5,1,mouse,0.02
60,0.1,1,mouse,0.02
2,900,2,rat,0.25
5,400,2,rat,0.25
10,460,2,rat,0.25
20,200,2,rat,0.25
40,130,2,rat,0.25
60,25,2,rat,0.25
90,15,2,rat,0.25
120,1,2,rat,0.25
2,200,3,monkey,3.5
5,40,3,monkey,3.5
10,48,3,monkey,3.5
20,27,3,monkey,3.5
40,29,3,monkey,3.5
60,17,3,monkey,3.5
90,17,3,monkey,3.5
120,6,3,monkey,3.5
240,2.5,3,monkey,3.5
2,1300,4,dog,14
5,800,4,dog,14
10,250,4,dog,14
20,260,4,dog,14
40,150,4,dog,14
60,187,4,dog,14
90,130,4,dog,14
120,120,4,dog,14
240,40,4,dog,14
480,5,4,dog,14
2,600,5,man,70
5,450,5,man,70
10,170,5,man,70
20,98,5,man,70
40,55,5,man,70
60,70,5,man,70
90,45,5,man,70
120,52,5,man,70
480,10,5,man,70
600,10,5,man,70
1440,0.38,5,man,70
