Conc(ug/L),Response,enantiomer
0.05,8.90279,1
0.15,7.6265,1
0.25,6.77034,1
0.35,5.65384,1
0.45,5.36353,1
0.55,5.17574,1
0.65,4.68647,1
0.75,3.84463,1
0.85,3.58708,1
0.95,4.07455,1
1.05,3.52824,1
1.15,3.06664,1
1.25,3.14258,1
1.35,2.98049,1
1.45,2.41365,1
1.55,3.12154,1
1.65,2.66723,1
1.75,2.3348,1
1.85,2.3668,1
1.95,1.70164,1
2.05,1.91114,1
2.15,1.8379,1
2.25,2.13289,1
2.35,2.29282,1
2.45,1.59772,1
2.55,2.14835,1
2.65,1.70374,1
2.75,1.81868,1
2.85,1.8812,1
2.95,0.950043,1
3.05,1.39221,1
3.15,1.12041,1
3.25,1.4306,1
3.35,1.93944,1
3.45,1.52182,1
3.55,1.64833,1
3.65,1.3228,1
3.75,1.01976,1
3.85,1.52195,1
3.95,1.25785,1
4.05,0.539108,1
4.15,0.698116,1
4.25,1.12546,1
4.35,0.50744,1
4.45,0.763564,1
4.55,1.38405,1
4.65,1.26731,1
4.75,1.45748,1
4.85,0.981899,1
5,0.933581,1
0.05,9.41075,2
0.15,9.20962,2
0.25,9.44266,2
0.35,9.62749,2
0.45,8.78848,2
0.55,8.5001,2
0.65,8.42765,2
0.75,8.46317,2
0.85,8.45661,2
0.95,7.34582,2
1.05,7.68908,2
1.15,7.00108,2
1.25,6.49168,2
1.35,6.90567,2
1.45,6.46231,2
1.55,5.99434,2
1.65,5.98641,2
1.75,5.71301,2
1.85,5.97614,2
1.95,5.54287,2
2.05,5.68277,2
2.15,5.40532,2
2.25,5.09736,2
2.35,5.36053,2
2.45,6.14866,2
2.55,5.00524,2
2.65,5.80088,2
2.75,5.8708,2
2.85,5.35225,2
2.95,5.42203,2
3.05,5.93397,2
3.15,5.75639,2
3.25,5.20963,2
3.35,5.5035,2
3.45,6.07479,2
3.55,5.8248,2
3.65,5.55675,2
3.75,5.01339,2
3.85,5.31438,2
3.95,5.09389,2
4.05,4.73802,2
4.15,5.52235,2
4.25,4.84941,2
4.35,5.28619,2
4.45,5.30165,2
4.55,5.6042,2
4.65,5.57919,2
4.75,5.72645,2
4.85,4.99776,2
4.95,5.03433,2
5,5.88813,2
