Ligand,Binding,Dataset,Study
-4.347,8085,1,1
-3.347,7749,1,1
-2.847,7838,1,1
-2.347,7170,1,1
-1.847,6296,1,1
-1.347,4847,1,1
-0.8471,4186,1,1
-0.3468,3573,1,1
0.1529,3097,1,1
0.6532,2640,1,1
1.153,2143,1,1
1.653,1638,1,1
-4.347,6522,2,1
-3.347,6456,2,1
-2.847,6427,2,1
-2.347,5829,2,1
-1.847,4881,2,1
-1.347,3883,2,1
-0.8471,3336,2,1
-0.3468,2857,2,1
0.1529,2328,2,1
0.6532,2112,2,1
1.153,1837,2,1
1.653,1281,2,1
-4.347,3756,3,1
-3.347,3492,3,1
-2.847,3423,3,1
-2.347,3309,3,1
-1.847,2827,3,1
-1.347,1933,3,1
-0.8471,1715,3,1
-0.3468,1385,3,1
0.1529,1206,3,1
0.6532,946.5,3,1
1.153,848.2,3,1
1.653,601.4,3,1
-4.347,1767,4,1
-3.347,1588,4,1
-2.847,1693,4,1
-2.347,1445,4,1
-1.847,1182,4,1
-1.347,845.9,4,1
-0.8471,699.7,4,1
-0.3468,617.8,4,1
0.1529,416.5,4,1
0.6532,377.9,4,1
1.153,348.7,4,1
1.653,245.7,4,1
