Time(min),Response,Group
0,22,1
1.1,23,1
3,17,1
5.1,19,1
7.1,18,1
9,23,1
10.1,35,1
12,30,1
14.1,26,1
15,25,1
17,23,1
20.1,22,1
30,20,1
39.9,21,1
40.1,95,1
41,89,1
42,80,1
43.1,76,1
45,65,1
47.6,49,1
50,40,1
55.1,28,1
60.1,24,1
65,17,1
69.5,20,1
70.1,.,1
72.1,150,1
75.1,134,1
80,103,1
85.1,69,1
90.1,43,1
95,30,1
99.8,18,1
100,170,1
105.1,165,1
110.1,158,1
115,143,1
120.1,120,1
125.1,82,1
127.5,63,1
130,50,1
132.6,45,1
135.1,34,1
140.1,22,1
150,23,1
0,23,2
1.1,18,2
8.6,23,2
10.1,21,2
15,20,2
20.1,18,2
30,17,2
39.9,24,2
40.1,32,2
41.1,30,2
42,28,2
43.1,27,2
45,25,2
47.1,24,2
50,18,2
60.1,22,2
69.7,22,2
70.1,82,2
72.1,68,2
75.1,54,2
80,37,2
85,28,2
90.5,23,2
96.1,18,2
99.8,20,2
100,150,2
105.6,130,2
110.1,100,2
115,75,2
120.1,48,2
125.1,35,2
128.1,28,2
132.1,24,2
135.1,23,2
140.1,18,2
150,22,2
