Time,Resp,Group,Dose_group
0.0097045,0.492402,1,5.62
0.0861759,8.31429,1,5.62
0.160755,22.4455,1,5.62
0.201174,19.0765,1,5.62
0.252705,44.3562,1,5.62
0.329904,49.7514,1,5.62
0.418701,49.3297,1,5.62
0.505313,56.188,1,5.62
0.581494,64.9806,1,5.62
0.660585,64.0664,1,5.62
0.748362,67.0421,1,5.62
0.844243,75.8487,1,5.62
0.914358,72.0155,1,5.62
1.0049,65.7698,1,5.62
1.0837,65.8264,1,5.62
1.16265,65.3976,1,5.62
1.25217,62.5492,1,5.62
1.3317,60.1791,1,5.62
1.4121,54.8969,1,5.62
1.57926,55.9877,1,5.62
1.66879,53.1394,1,5.62
1.75079,42.5186,1,5.62
1.82842,46.4578,1,5.62
1.84929,42.5892,1,5.62
1.91853,41.668,1,5.62
1.99966,33.9592,1,5.62
2.08729,37.4202,1,5.62
2.16638,36.5061,1,5.62
2.33835,21.5809,1,5.62
2.41744,20.6667,1,5.62
2.4974,16.8406,1,5.62
2.57679,14.9558,1,5.62
2.66646,11.6221,1,5.62
2.74642,7.79597,1,5.62
2.82318,14.6472,1,5.62
2.913,10.8281,1,5.62
2.99195,10.3993,1,5.62
3.08249,4.15361,1,5.62
3.16129,4.21015,1,5.62
3.25008,3.78843,1,5.62
0,0,2,3.12
0.165302,5.94416,2,3.12
0.201708,15.6791,2,3.12
0.246347,30.7598,2,3.12
0.335359,28.8821,2,3.12
0.343012,36.1692,2,3.12
0.430286,40.1154,2,3.12
0.509907,36.7746,2,3.12
0.589528,33.4339,2,3.12
0.668715,31.5491,2,3.12
0.757872,29.186,2,3.12
0.836189,30.2132,2,3.12
0.915665,27.3578,2,3.12
0.992824,32.2676,2,3.12
1.08169,30.8753,2,3.12
1.1616,26.5638,2,3.12
1.25279,17.4061,2,3.12
1.33197,15.5213,2,3.12
1.41939,18.9822,2,3.12
1.50003,12.2441,2,3.12
1.57777,15.2126,2,3.12
1.66605,15.7616,2,3.12
1.74814,4.1701,2,3.12
1.83657,4.23371,2,3.12
1.91518,4.29026,2,3.12
1.99422,2.8908,2,3.12
